id,name,contact_phone,email,guardian_name,guardian_phone,skills_qualifications,disability_type,disability_subcategory,age,nationality,trainings_acquired,area_of_interest,current_status,institution_or_employer,suggested_suitability,aptitude_score_percent,aptitude_category,IQ_level
11,Sophia Jones,971527849808,sophia.jones.11@example.com,Aisha Al Muhairi,971541000000,"Social media management, Content writing, Sales support",Visual,Blind / no vision,37,Emirati,"Advanced IT (Web dev), Graphic design",Sales & Marketing,Working,Special Needs Centre Ras Al Khaimah,"Audio-based roles (call center, voice transcription)",86,Excellent,97
12,Ali Al Hammadi,971542786801,ali.al.hammadi.12@example.com,Ali Al Ali,971506000000,Kitchen assistant,Hearing,Hard of hearing,39,American,Sign language (advanced),Sales & Marketing,Studying,Company B (Hospitality),On-site assembly/packing,66,Average,82
13,Noah Williams,971522260256,noah.williams.13@example.com,Olivia Jones,971522000000,Bookkeeping,Hearing,Deaf,35,Bangladeshi,,Sales & Marketing,Studying,Community College Sharjah,On-site assembly/packing,56,Average,101
14,Ethan Taylor,971588685014,ethan.taylor.14@example.com,Hessa Al Mazroui,971510000000,Social media management,Physical,Limb loss / amputation,40,American,,Accounting/Finance,Working,Company B (Hospitality),Supervised workshop tasks,47,Below Average,104
15,Asha Thomas,971583561595,asha.thomas.15@example.com,Ravi Thomas,971548000000,"Accounting basics, Gardening",Visual,Low vision,28,Indian,"Warehouse operations, Life skills & mobility training",Creative/Design,Studying,Special Needs Centre Ras Al Khaimah,"Audio-based roles (call center, voice transcription)",55,Average,96
16,Rashid Al Qubaisi,971585777387,rashid.al.qubaisi.16@example.com,Ibrahim Thomas,971521000000,Web development,Learning,Dyslexia / learning difficulty,35,Emirati,,IT & Digital,Studying,Company A (Retail),Hands-on vocational work,55,Average,122
17,Emma Clark,971559367632,emma.clark.17@example.com,Anjali Singh,971526000000,"Content writing, Transcription",Visual,Blind / no vision,23,Indian,"CNC basics, Soft skills & communication",Education Support,Unemployed,Not currently enrolled or employed,IT roles with screen-reader support,64,Average,87
18,Hamad Al Rumaithi,971527743487,hamad.al.rumaithi.18@example.com,Sanjay Cherian,971504000000,"Web development, Handicrafts, Graphic design",Visual,Low vision,25,Emirati,"Mobile phone repair, Barista & cafe skills, Life skills & mobility training",Customer Service,Working,Online training - Coursera,"Tactile/vocational roles (tailoring, assembly)",77,Good,85
19,Rashid Al Rumaithi,971509670546,rashid.al.rumaithi.19@example.com,Lucas Hall,971589000000,"Security, Accounting basics, Admin assistance",Intellectual,Moderate intellectual disability,17,Indian,Project-based training (3 months),Logistics & Warehouse,Studying,Private School Abu Dhabi,Hospitality support roles with routines,68,Average,76
20,Anjali Singh,971586272046,anjali.singh.20@example.com,Sara Al Blooshi,971546000000,"Bookkeeping, Graphic design",Mental Health,Chronic mental health condition,50,Emirati,,Data & Analytics,Studying,Online training - Coursera,Flexible hours roles (remote work),45,Below Average,102
21,Amelia Johnson,971522719374,amelia.johnson.21@example.com,Neha Balakrishnan,971561000000,"Security, Handicrafts",Autism,Autism Spectrum Disorder - Low support,59,American,,Agriculture/Gardening,Vocational training,Freelance / Self-employed,"IT & structured tasks (data, QA)",76,Good,102
22,Noor Al Hammadi,971561905865,noor.al.hammadi.22@example.com,Saeed Al Mazroui,971527000000,"Social media management, Transcription, Sales support",Intellectual,Mild intellectual disability,27,Jordanian,"Mobile phone repair, Special education support, Data entry",Manufacturing,Unemployed,Not currently enrolled or employed,"Structured vocational roles (assembly, packaging)",63,Average,96
23,Sara Al Neyadi,971527996507,sara.al.neyadi.23@example.com,Noah Clark,971525000000,Bookkeeping,Physical,Mobility impairment (wheelchair user),49,Other,"Online freelancing (Upwork), Life skills & mobility training, Sign language (advanced)",Accounting/Finance,Working,Not currently enrolled or employed,Accessible admin/IT roles,42,Below Average,91
24,Ahmed Al Hosani,971543634957,ahmed.al.hosani.24@example.com,Priya Reddy,971589000000,"IT support, Transcription",Visual,Blind / no vision,23,Jordanian,Sign language (basic),Administration,Unemployed,Not currently enrolled or employed,"Tactile/vocational roles (tailoring, assembly)",58,Average,112
25,Ibrahim Mohan,971564134352,ibrahim.mohan.25@example.com,Latifa Al Muhairi,971540000000,"Sales support, Admin assistance",Multiple,Multiple disabilities,16,Pakistani,"Vocational tailoring, Advanced IT (Web dev)",Handicrafts & Art,Freelance,Not currently enrolled or employed,Customized supported employment plan,70,Good,78
26,Reema Singh,971557190229,reema.singh.26@example.com,Emma Williams,971509000000,"Gardening, Assembly & packing",Intellectual,Mild intellectual disability,44,American,"Special education support, Advanced IT (Web dev)",Agriculture/Gardening,Freelance,Not currently enrolled or employed,"Structured vocational roles (assembly, packaging)",69,Average,95
27,Olivia Williams,971541232812,olivia.williams.27@example.com,Sara Al Rumaithi,971567000000,"Gardening, Handicrafts",Physical,Limb loss / amputation,59,Emirati,"Hospitality training, Life skills & mobility training, Sign language (advanced)",Sales & Marketing,Studying,Special Needs Centre Ras Al Khaimah,"Remote/desk roles (customer support, data entry)",54,Average,107
28,Hamad Al Mansoori,971569471746,hamad.al.mansoori.28@example.com,Mason Hall,971557000000,"Gardening, Tailoring, Data entry",Hearing,Hard of hearing,17,Emirati,"Special education support, Advanced IT (Web dev)",Data & Analytics,Unemployed,Not currently enrolled or employed,On-site assembly/packing,80,Good,111
29,Maya Patel,971529671756,maya.patel.29@example.com,Aisha Al Muhairi,971547000000,Security,Physical,Limb loss / amputation,36,Indian,,Sales & Marketing,Unemployed,Not currently enrolled or employed,Accessible admin/IT roles,52,Average,96
30,Khalid Al Ali,971549770348,khalid.al.ali.30@example.com,Noor Al Shamsi,971587000000,Bookkeeping,Autism,Autism Spectrum Disorder - High support,16,Pakistani,,Customer Service,Freelance,Not currently enrolled or employed,Supported workplace with routine,69,Average,111
31,Mia Jones,971564677378,mia.jones.31@example.com,Khalid Al Qubaisi,971562000000,"Gardening, Tailoring",Multiple,Multiple disabilities,16,Indian,"Customer service, CNC basics, Life skills & mobility training",Customer Service,Working,Company B (Hospitality),Customized supported employment plan,57,Average,97
32,Anoop Cherian,971543396360,anoop.cherian.32@example.com,Omar Al Rumaithi,971527000000,"IT support, Content writing",Autism,Autism Spectrum Disorder - Low support,37,British,"Basic IT (MS Office), Customer service, Mobile phone repair",Creative/Design,Vocational training,Gulf Vocational Center,"IT & structured tasks (data, QA)",48,Below Average,85
33,Sanjay Varma,971566158657,sanjay.varma.33@example.com,Liam Allen,971503000000,Customer support,Intellectual,Moderate intellectual disability,26,Egyptian,"Advanced IT (Web dev), Bookkeeping",Manufacturing,Working,Gulf Vocational Center,"Structured vocational roles (assembly, packaging)",77,Good,116
34,Deepa Menon,971522221969,deepa.menon.34@example.com,Maya Balakrishnan,971524000000,Admin assistance,Hearing,Hard of hearing,59,Pakistani,"Special education support, Bookkeeping",Sales & Marketing,Freelance,Not currently enrolled or employed,Back-office admin roles,63,Average,112
35,Noor Al Neyadi,971557136959,noor.al.neyadi.35@example.com,Noor Al Mazroui,971526000000,Tailoring,Multiple,Multiple disabilities,34,Syrian,"Sign language (advanced), Sign language (basic)",Agriculture/Gardening,Working,Not currently enrolled or employed,Customized supported employment plan,70,Good,92
36,Rahul Nair,971581047095,rahul.nair.36@example.com,Ravi Patel,971546000000,"Sales support, Retail cashier",Autism,Autism Spectrum Disorder - High support,33,Bangladeshi,"Hospitality training, CNC basics",Hospitality,Studying,Online training - Coursera,Supported workplace with routine,70,Good,118
37,Anoop Mohan,971541604817,anoop.mohan.37@example.com,Hessa Al Qubaisi,971555000000,Admin assistance,Hearing,Deaf,55,Emirati,"Mobile phone repair, Hospitality training",Retail,Studying,Technical College Abu Dhabi,On-site assembly/packing,64,Average,118
38,Emma Brown,971528267586,emma.brown.38@example.com,Asha Nair,971552000000,Kitchen assistant,Visual,Blind / no vision,44,Indian,,Sales & Marketing,Working,Freelance / Self-employed,"Tactile/vocational roles (tailoring, assembly)",30,Needs Support,109
39,Hessa Al Neyadi,971507139005,hessa.al.neyadi.39@example.com,Ali Al Qubaisi,971522000000,"Data entry, Social media management, Web development",Speech,Speech impairment,25,Syrian,Life skills & mobility training,Handicrafts & Art,Unemployed,Not currently enrolled or employed,"Back-office roles (data entry, admin)",66,Average,96
40,Anjali Nair,971505395024,anjali.nair.40@example.com,Yusuf Al Ali,971502000000,"Customer support, Content writing, Retail cashier",Intellectual,Moderate intellectual disability,48,Emirati,"Basic IT (MS Office), Advanced IT (Web dev), Online freelancing (Upwork)",Creative/Design,Working,Freelance / Self-employed,"Structured vocational roles (assembly, packaging)",66,Average,76
41,Farah Cherian,971501592124,farah.cherian.41@example.com,Deepa Mohan,971586000000,"IT support, Transcription, Handicrafts",Autism,Autism Spectrum Disorder - Low support,43,Emirati,"CNC basics, Sign language (advanced), Mobile phone repair",Manufacturing,Unemployed,Not currently enrolled or employed,Creative/design with clear briefs,61,Average,104
42,Aisha Al Blooshi,971555452711,aisha.al.blooshi.42@example.com,Emma Davis,971505000000,"Assembly & packing, Customer support",Hearing,Deaf,58,Emirati,"Project-based training (3 months), Bookkeeping",Manufacturing,Studying,Company B (Hospitality),"Visual roles (data entry, graphic design)",87,Excellent,93
43,Omar Al Neyadi,971521585149,omar.al.neyadi.43@example.com,Yusuf Al Ali,971530000000,"Warehouse assistant, Kitchen assistant",Visual,Low vision,33,Egyptian,,Retail,Unemployed,Not currently enrolled or employed,IT roles with screen-reader support,52,Average,93
44,Ravi Nair,971580183667,ravi.nair.44@example.com,Zainab Al Mansoori,971586000000,Social media management,Speech,Speech impairment,55,Emirati,"Mobile phone repair, Online freelancing (Upwork), CNC basics",Education Support,Working,Company B (Hospitality),"Back-office roles (data entry, admin)",78,Good,103
45,Aisha Al Mansoori,971589784036,aisha.al.mansoori.45@example.com,Liam Smith,971524000000,Web development,Physical,Mobility impairment (wheelchair user),47,Jordanian,"Life skills & mobility training, Sign language (advanced), Soft skills & communication",Logistics & Warehouse,Unemployed,Not currently enrolled or employed,Accessible admin/IT roles,57,Average,106
46,Mohammed Al Falasi,971507159696,mohammed.al.falasi.46@example.com,Anoop Patel,971506000000,Assembly & packing,Physical,Limb loss / amputation,43,British,"Soft skills & communication, Graphic design, Warehouse operations",Creative/Design,Working,Community College Sharjah,"Remote/desk roles (customer support, data entry)",66,Average,111
47,Hamad Al Hosani,971561883552,hamad.al.hosani.47@example.com,Ali Al Mansoori,971523000000,"Gardening, Warehouse assistant",Speech,Speech impairment,52,Jordanian,"Customer service, CNC basics",Hospitality,Working,Freelance / Self-employed,IT & digital work,54,Average,96
48,Deepa Kumar,971548147700,deepa.kumar.48@example.com,Noor Al Hosani,971582000000,"Handicrafts, Warehouse assistant, Sales support",Autism,Autism Spectrum Disorder - High support,18,Indian,Advanced IT (Web dev),Customer Service,Studying,Community College Sharjah,Supported workplace with routine,59,Average,82
49,Hamad Al Mazroui,971527788925,hamad.al.mazroui.49@example.com,Noor Al Falasi,971556000000,"Tailoring, Web development",Autism,Autism Spectrum Disorder - High support,59,Indian,"Graphic design, Special education support",Sales & Marketing,Studying,Community College Sharjah,Creative/design with clear briefs,69,Average,103
50,Lucas Johnson,971561486528,lucas.johnson.50@example.com,Yusuf Al Ali,971541000000,Graphic design,Visual,Blind / no vision,30,Other,"Hospitality training, Soft skills & communication",Data & Analytics,Working,Not currently enrolled or employed,IT roles with screen-reader support,65,Average,97
51,Saeed Al Qubaisi,971529622292,saeed.al.qubaisi.51@example.com,Anjali Reddy,971544000000,"Handicrafts, Kitchen assistant",Visual,Blind / no vision,35,Other,"CNC basics, Bookkeeping, Warehouse operations",Logistics & Warehouse,Working,Gulf Vocational Center,"Audio-based roles (call center, voice transcription)",43,Below Average,94
52,Noah Jones,971507581814,noah.jones.52@example.com,Hamad Al Mansoori,971558000000,"Kitchen assistant, Bookkeeping, Security",Physical,Mobility impairment (wheelchair user),42,Emirati,,Manufacturing,Studying,Community College Sharjah,"Remote/desk roles (customer support, data entry)",59,Average,90
53,Sophia Johnson,971520472779,sophia.johnson.53@example.com,Fatima Al Mazroui,971543000000,Customer support,Speech,Speech impairment,34,Emirati,Mobile phone repair,Sales & Marketing,Unemployed,Not currently enrolled or employed,IT & digital work,62,Average,104
54,Omar Al Qubaisi,971560893246,omar.al.qubaisi.54@example.com,Zainab Al Neyadi,971566000000,"Transcription, Data entry, Security",Autism,Autism Spectrum Disorder - High support,48,Syrian,"Advanced IT (Web dev), Warehouse operations, Retail operations",Handicrafts & Art,Unemployed,Not currently enrolled or employed,Creative/design with clear briefs,93,Excellent,102
55,Priya Raj,971581952058,priya.raj.55@example.com,Hamad Al Hammadi,971557000000,Warehouse assistant,Visual,Blind / no vision,18,Bangladeshi,"Soft skills & communication, Warehouse operations",Creative/Design,Working,Special Needs Centre Ras Al Khaimah,"Audio-based roles (call center, voice transcription)",68,Average,99
56,Arjun Patel,971540541566,arjun.patel.56@example.com,Farah Reddy,971543000000,"Accounting basics, Transcription, Retail cashier",Mental Health,Chronic mental health condition,43,Emirati,"Hospitality training, Graphic design",Manufacturing,Vocational training,Special Needs Centre Ras Al Khaimah,Supportive workplace (part-time),36,Needs Support,99
57,Anoop Nair,971587570596,anoop.nair.57@example.com,Mohammed Al Hosani,971587000000,Bookkeeping,Learning,Dyslexia / learning difficulty,44,Emirati,"Retail operations, Warehouse operations",Agriculture/Gardening,Studying,Gulf Vocational Center,Hands-on vocational work,65,Average,129
58,Zainab Al Blooshi,971551928565,zainab.al.blooshi.58@example.com,Arjun Singh,971503000000,Tailoring,Speech,Speech impairment,32,Egyptian,"Online freelancing (Upwork), Sign language (basic)",Hospitality,Studying,Higher Learning Dubai,IT & digital work,62,Average,103
59,Sara Al Hosani,971525518844,sara.al.hosani.59@example.com,Noah Taylor,971563000000,"Transcription, Web development",Hearing,Deaf,51,Pakistani,,Hospitality,Working,Not currently enrolled or employed,Back-office admin roles,64,Average,85
60,Anoop Reddy,971529125177,anoop.reddy.60@example.com,Priya Nair,971529000000,"Accounting basics, Tailoring",Multiple,Multiple disabilities,23,Pakistani,"Sign language (advanced), Retail operations",Logistics & Warehouse,Unemployed,Not currently enrolled or employed,Customized supported employment plan,82,Good,109
61,Ethan Williams,971588424981,ethan.williams.61@example.com,Neha Balakrishnan,971562000000,"Gardening, Social media management, Handicrafts",Multiple,Multiple disabilities,17,Emirati,"Project-based training (3 months), Basic IT (MS Office), Online freelancing (Upwork)",Technical Repair,Vocational training,Special Needs Centre Ras Al Khaimah,Customized supported employment plan,76,Good,89
62,Sanjay Cherian,971526471027,sanjay.cherian.62@example.com,Sara Al Neyadi,971549000000,Warehouse assistant,Speech,Speech impairment,39,Pakistani,CNC basics,Hospitality,Working,Online training - Coursera,"Back-office roles (data entry, admin)",86,Excellent,83
63,Noor Al Falasi,971529632595,noor.al.falasi.63@example.com,Hamad Al Shamsi,971568000000,Gardening,Autism,Autism Spectrum Disorder - High support,45,Other,"Advanced IT (Web dev), Project-based training (3 months)",Handicrafts & Art,Working,Freelance / Self-employed,Supported workplace with routine,73,Good,126
64,Kamal Kumar,971521624565,kamal.kumar.64@example.com,Mohammed Al Qubaisi,971564000000,"Tailoring, IT support, Web development",Intellectual,Moderate intellectual disability,51,Indian,,Education Support,Working,Community College Sharjah,Hospitality support roles with routines,50,Average,93
65,Noah Williams,971568680002,noah.williams.65@example.com,Ibrahim Cherian,971567000000,"Retail cashier, Gardening, Warehouse assistant",Hearing,Deaf,26,Indian,"Special education support, Bookkeeping, Online freelancing (Upwork)",Creative/Design,Studying,Community College Sharjah,Back-office admin roles,66,Average,93
66,Yusuf Al Qubaisi,971540974993,yusuf.al.qubaisi.66@example.com,Deepa Cherian,971529000000,"Warehouse assistant, Assembly & packing",Mental Health,Chronic mental health condition,23,Emirati,Mobile phone repair,Accounting/Finance,Studying,Company B (Hospitality),Creative/artisan roles,41,Below Average,100
67,Liam Johnson,971563857865,liam.johnson.67@example.com,Mia Hall,971549000000,"Retail cashier, Handicrafts",Hearing,Hard of hearing,51,Indian,"Barista & cafe skills, Online freelancing (Upwork), Retail operations",Logistics & Warehouse,Freelance,Not currently enrolled or employed,Back-office admin roles,49,Below Average,105
68,Aisha Al Qubaisi,971588665240,aisha.al.qubaisi.68@example.com,Fatima Al Blooshi,971555000000,"Gardening, Bookkeeping, Tailoring",Mental Health,Chronic mental health condition,33,Emirati,,Sales & Marketing,Freelance,Not currently enrolled or employed,Flexible hours roles (remote work),51,Average,118
69,Anjali Singh,971555712082,anjali.singh.69@example.com,Omar Al Shamsi,971583000000,Accounting basics,Visual,Blind / no vision,50,Jordanian,"Vocational tailoring, Advanced IT (Web dev), Warehouse operations",Data & Analytics,Working,Not currently enrolled or employed,"Tactile/vocational roles (tailoring, assembly)",53,Average,96
70,Liam Jones,971569154788,liam.jones.70@example.com,Neha Mohan,971554000000,"Retail cashier, Gardening",Mental Health,Chronic mental health condition,27,Emirati,Vocational tailoring,Agriculture/Gardening,Unemployed,Not currently enrolled or employed,Supportive workplace (part-time),77,Good,85
71,Mason Taylor,971506122753,mason.taylor.71@example.com,Huda Al Neyadi,971555000000,IT support,Learning,Dyslexia / learning difficulty,39,Egyptian,"Bookkeeping, Vocational tailoring, Warehouse operations",Sales & Marketing,Working,Not currently enrolled or employed,Supervised admin tasks,68,Average,115
72,Rahul Patel,971549332727,rahul.patel.72@example.com,Deepa Varma,971559000000,"Graphic design, Gardening",Autism,Autism Spectrum Disorder - High support,44,Pakistani,,IT & Digital,Unemployed,Not currently enrolled or employed,Supported workplace with routine,40,Below Average,102
73,Latifa Al Muhairi,971525871397,latifa.al.muhairi.73@example.com,Majid Al Shamsi,971521000000,"Data entry, Security",Physical,Mobility impairment (wheelchair user),51,Indian,"Basic IT (MS Office), Sign language (basic)",Agriculture/Gardening,Studying,Private School Abu Dhabi,Accessible admin/IT roles,68,Average,109
74,Kamal Kumar,971507046226,kamal.kumar.74@example.com,Huda Al Shamsi,971527000000,Bookkeeping,Visual,Low vision,50,Indian,,Data & Analytics,Studying,Special Needs Centre Ras Al Khaimah,"Tactile/vocational roles (tailoring, assembly)",46,Below Average,84
75,Kamal Reddy,971566337524,kamal.reddy.75@example.com,Aisha Al Mazroui,971527000000,"Customer support, Bookkeeping, Tailoring",Autism,Autism Spectrum Disorder - Low support,18,Indian,"CNC basics, Sign language (advanced), Life skills & mobility training",Administration,Unemployed,Not currently enrolled or employed,"IT & structured tasks (data, QA)",72,Good,103
76,Noor Al Neyadi,971529599534,noor.al.neyadi.76@example.com,Mason Williams,971554000000,"Security, Content writing",Autism,Autism Spectrum Disorder - High support,47,Emirati,"Mobile phone repair, Project-based training (3 months)",Retail,Working,Gulf Vocational Center,Supported workplace with routine,68,Average,104
77,Reema Raj,971542708668,reema.raj.77@example.com,Anoop Raj,971544000000,"Tailoring, Customer support",Mental Health,Chronic mental health condition,28,Emirati,,Administration,Unemployed,Not currently enrolled or employed,Creative/artisan roles,54,Average,102
78,Kamal Raj,971553540331,kamal.raj.78@example.com,Ibrahim Cherian,971529000000,"Retail cashier, Social media management",Intellectual,Mild intellectual disability,45,Pakistani,"Soft skills & communication, Online freelancing (Upwork)",Customer Service,Studying,Not currently enrolled or employed,Supported employment with job coach,69,Average,91
79,Priya Raj,971545609320,priya.raj.79@example.com,Rashid Al Qubaisi,971586000000,"Warehouse assistant, Social media management, Sales support",Autism,Autism Spectrum Disorder - Low support,31,Indian,"CNC basics, Vocational tailoring, Retail operations",Retail,Studying,Company B (Hospitality),Creative/design with clear briefs,92,Excellent,105
80,Latifa Al Hammadi,971508010062,latifa.al.hammadi.80@example.com,Olivia Brown,971582000000,"Sales support, Tailoring, Data entry",Autism,Autism Spectrum Disorder - Low support,56,Egyptian,,Logistics & Warehouse,Vocational training,Technical College Abu Dhabi,"IT & structured tasks (data, QA)",47,Below Average,107
81,Sanjay Mohan,971540862118,sanjay.mohan.81@example.com,Khalid Al Qubaisi,971565000000,"Bookkeeping, Retail cashier, Graphic design",Intellectual,Moderate intellectual disability,52,Emirati,,Hospitality,Working,Private School Abu Dhabi,Hospitality support roles with routines,50,Average,109
82,Rahul Kumar,971582176591,rahul.kumar.82@example.com,Liam Williams,971530000000,"Data entry, Handicrafts",Autism,Autism Spectrum Disorder - Low support,58,Emirati,Warehouse operations,Technical Repair,Studying,Gulf Vocational Center,Supported workplace with routine,82,Good,90
83,Huda Al Hammadi,971565621850,huda.al.hammadi.83@example.com,Salma Al Hosani,971550000000,"Transcription, Security",Speech,Speech impairment,44,Indian,"Vocational tailoring, Special education support, Warehouse operations",Hospitality,Unemployed,Not currently enrolled or employed,IT & digital work,79,Good,104
84,Asha Singh,971504262655,asha.singh.84@example.com,Ahmed Al Mansoori,971555000000,"IT support, Data entry",Intellectual,Moderate intellectual disability,51,Pakistani,,Manufacturing,Vocational training,Company C (IT services),Hospitality support roles with routines,77,Good,122
85,Reema Reddy,971504661839,reema.reddy.85@example.com,Rahul Reddy,971522000000,"Sales support, Graphic design",Visual,Low vision,43,Indian,"Data entry, Sign language (advanced)",Accounting/Finance,Vocational training,Company C (IT services),IT roles with screen-reader support,61,Average,90
86,Aisha Al Muhairi,971540659657,aisha.al.muhairi.86@example.com,Mariam Al Muhairi,971546000000,"Sales support, Gardening, Bookkeeping",Hearing,Deaf,34,Jordanian,"Warehouse operations, Data entry",Creative/Design,Unemployed,Not currently enrolled or employed,On-site assembly/packing,51,Average,90
87,Rashid Al Neyadi,971568280737,rashid.al.neyadi.87@example.com,Reema Thomas,971507000000,Admin assistance,Mental Health,Chronic mental health condition,43,Syrian,"Special education support, Warehouse operations, Life skills & mobility training",Logistics & Warehouse,Freelance,Not currently enrolled or employed,Creative/artisan roles,63,Average,104
88,Mohammed Al Blooshi,971588911352,mohammed.al.blooshi.88@example.com,Anjali Balakrishnan,971587000000,"Gardening, Tailoring, Bookkeeping",Visual,Blind / no vision,48,Jordanian,"Retail operations, Warehouse operations, CNC basics",Data & Analytics,Vocational training,Not currently enrolled or employed,IT roles with screen-reader support,69,Average,109
89,Ahmed Al Shamsi,971504611254,ahmed.al.shamsi.89@example.com,Khalid Al Ali,971556000000,Data entry,Hearing,Hard of hearing,18,Bangladeshi,"Hospitality training, Vocational tailoring",Technical Repair,Freelance,Not currently enrolled or employed,"Visual roles (data entry, graphic design)",65,Average,117
90,Kamal Nair,971548673622,kamal.nair.90@example.com,Anoop Reddy,971509000000,"Graphic design, Gardening, IT support",Mental Health,Chronic mental health condition,29,Emirati,Retail operations,Manufacturing,Studying,Higher Learning Dubai,Supportive workplace (part-time),61,Average,132
91,Maya Mohan,971585969691,maya.mohan.91@example.com,Sara Al Qubaisi,971525000000,"Web development, Content writing",Visual,Blind / no vision,35,Emirati,"Mobile phone repair, Customer service, Warehouse operations",Education Support,Studying,Freelance / Self-employed,IT roles with screen-reader support,74,Good,89
92,Rahul Nair,971562742257,rahul.nair.92@example.com,Reema Varma,971507000000,"Admin assistance, Sales support, Accounting basics",Intellectual,Mild intellectual disability,59,Indian,,Agriculture/Gardening,Studying,Online training - Coursera,Supported employment with job coach,48,Below Average,105
93,Salma Al Ali,971542797881,salma.al.ali.93@example.com,Sanjay Mohan,971526000000,"Customer support, Admin assistance",Physical,Limb loss / amputation,57,Jordanian,"Retail operations, Graphic design",Customer Service,Unemployed,Not currently enrolled or employed,"Remote/desk roles (customer support, data entry)",61,Average,108
94,Arjun Raj,971529596292,arjun.raj.94@example.com,Reema Raj,971521000000,"Retail cashier, Gardening",Visual,Low vision,36,Other,"Soft skills & communication, Hospitality training",Retail,Freelance,Not currently enrolled or employed,"Tactile/vocational roles (tailoring, assembly)",72,Good,99
95,Ethan Johnson,971582325367,ethan.johnson.95@example.com,Hessa Al Hammadi,971557000000,"Warehouse assistant, Gardening",Mental Health,Chronic mental health condition,39,Indian,,Creative/Design,Unemployed,Not currently enrolled or employed,Creative/artisan roles,52,Average,81
96,Sara Al Hammadi,971585186363,sara.al.hammadi.96@example.com,Priya Patel,971549000000,"Data entry, IT support",Physical,Mobility impairment (wheelchair user),22,Filipino,CNC basics,Customer Service,Studying,Private School Abu Dhabi,"Remote/desk roles (customer support, data entry)",58,Average,110
97,Noah Jones,971524154152,noah.jones.97@example.com,Noor Al Rumaithi,971584000000,"Admin assistance, Data entry, Gardening",Physical,Limb loss / amputation,24,Filipino,"Hospitality training, Mobile phone repair",Accounting/Finance,Studying,Higher Learning Dubai,"Remote/desk roles (customer support, data entry)",68,Average,85
98,Aisha Al Hosani,971545426221,aisha.al.hosani.98@example.com,Anjali Balakrishnan,971583000000,IT support,Learning,Dyslexia / learning difficulty,44,British,Hospitality training,Agriculture/Gardening,Unemployed,Not currently enrolled or employed,Supervised admin tasks,67,Average,104
99,Sophia Johnson,971524138999,sophia.johnson.99@example.com,Ahmed Al Hammadi,971544000000,Sales support,Learning,Dyslexia / learning difficulty,19,Syrian,"Hospitality training, Sign language (advanced), Online freelancing (Upwork)",Sales & Marketing,Vocational training,Company B (Hospitality),Roles with assistive tech (auditory support),51,Average,101
